IDNO,Name,Regions,OpposeSupport,PartyAffliation,i,we,you,shehe,they,past,present,future,negate,social,posemo,negemo,insight,cause,discrep,tentat,certain,inhib,incl,excl,motion,achieve,money,relig,death
314,Miller,1,1,2,9.09,.47,1.63,0,1.86,4.43,6.76,.47,1.4,8.86,2.1,3.03,2.56,.7,1.63,2.8,1.63,.7,3.03,2.33,1.17,.93,.23,0,1.63
429,Feingold,1,0,2,4.93,0,0,0,0,.7,4.93,.7,3.52,6.34,4.23,2.82,5.63,1.41,1.41,3.52,.7,3.52,1.41,3.52,1.41,3.52,0,0,0
463,Gramm,1,1,1,3.31,4.78,1.84,1.1,1.29,1.1,13.97,1.47,1.65,14.71,2.39,3.12,2.57,1.47,2.02,1.84,.37,2.21,7.72,2.76,2.76,2.57,0,0,.18
90,Domenici,1,1,1,2.44,3.17,.24,2.93,4.15,4.39,10.49,1.46,1.71,13.9,2.68,2.68,2.44,.49,2.44,4.15,1.95,.49,5.12,3.66,1.46,1.46,.24,0,.24
94,Biden,1,1,2,1.61,2.42,0,0,0,2.42,3.23,.81,.81,8.06,0,1.61,.81,1.61,1.61,.81,0,2.42,6.45,2.42,3.23,5.65,2.42,0,.81
434,Reid,1,1,2,3.31,2.34,.19,2.14,1.95,6.43,7.41,1.36,2.92,10.92,1.95,.78,1.95,.97,1.95,2.14,1.17,0,4.09,2.14,.58,2.73,.39,0,0
375,Specter,1,1,1,2.38,0,0,.79,0,.4,6.75,1.19,0,5.56,2.78,2.38,5.95,3.97,.79,1.98,.79,.79,2.78,1.98,.4,3.17,0,0,0
372,Reid,1,1,2,2.95,2.39,1.59,.34,.8,2.27,6.93,1.59,1.59,10.45,3.64,1.82,2.95,3.86,1.59,1.59,1.02,1.48,4.09,3.07,1.36,4.2,.45,.34,.45
4,Bayh,1,1,2,3.38,3.38,0,.92,.62,.31,10.46,.92,1.54,7.38,3.38,3.69,.92,4.92,2.77,2.46,1.85,1.85,5.23,3.08,2.15,4,.31,0,.31
282,Warner,1,1,1,3.92,3.31,0,.9,0,1.2,3.92,.6,0,7.83,4.52,1.51,2.71,2.41,.6,1.2,1.2,.6,6.63,.3,2.41,7.83,0,0,0
505,Reid,1,1,2,6.13,1.17,1.3,1.83,.52,2.35,10.04,.65,2.22,11.99,2.74,.52,3,.91,1.69,2.74,1.04,.26,3.26,4.56,1.56,2.09,.65,0,.26
442,Thomas,1,1,1,2.58,3.48,.13,.77,.26,4.39,11.74,.26,1.94,6.84,3.1,1.42,2.97,1.68,2.32,1.55,3.23,1.29,5.94,2.84,1.94,2.32,.13,0,.39
239,Kennedy,1,0,2,3.26,1.4,0,1.4,0,0,4.65,.47,.93,7.91,3.26,5.58,1.4,.47,.47,0,0,.47,4.19,.93,1.86,.93,.47,0,0
444,Thurmond,1,1,1,1.53,2.1,.19,3.82,0,5.15,3.24,.38,.57,11.26,3.44,5.73,2.67,1.53,.95,.95,1.53,1.91,5.73,.38,.95,3.05,0,.19,.76
360,Domenici,1,1,1,5.71,2.86,0,1.14,0,1.14,11.43,1.71,1.14,8.57,.57,4,4.57,2.86,1.14,3.43,.57,.57,5.14,2.86,.57,1.71,0,0,1.71
412,Nickles,1,1,1,3.19,2.65,.35,.35,.35,5.13,4.96,.71,1.77,8.32,1.77,.53,3.72,3.01,1.06,1.42,2.12,.35,5.49,2.3,3.89,1.77,.35,0,0
319,Byrd,1,0,2,4.7,4.31,0,.78,0,.2,14.09,2.54,1.57,10.37,1.57,1.37,3.72,1.37,3.13,4.11,.78,.78,5.48,2.94,1.57,1.37,.2,.2,.78
21,Bond,1,1,1,1.16,2.32,.23,3.48,.93,.46,7.19,2.09,.93,11.14,3.25,4.41,2.32,2.78,1.39,2.32,1.39,.23,6.96,2.09,1.86,3.25,0,.23,0
432,Jeffords,1,0,1,.69,2.91,0,0,0,.42,5.69,.69,.14,6.1,5.13,3.74,2.77,1.66,2.5,1.66,.69,1.66,5.13,.83,1.94,6.66,.42,0,.83
380,Warner,1,1,1,5.66,.75,0,1.13,0,.38,4.15,.75,.75,6.42,4.15,1.51,3.4,.38,.75,1.89,1.51,.38,3.4,.75,.38,1.51,0,0,0
430,Corzine,1,0,2,1.96,2.79,.28,0,.28,.56,3.63,0,1.12,6.42,4.19,3.35,1.4,.84,1.4,2.79,.56,1.96,6.15,2.79,2.79,2.23,.56,0,.28
262,Santorum,1,1,1,1.47,2.21,.49,1.31,2.04,5.15,9.48,.57,3.1,8.91,1.8,3.43,3.19,2.86,1.31,2.29,1.88,.49,3.35,3.76,2.7,1.39,.57,0,0
517,Biden,1,1,2,3.34,2.56,1.62,2.31,.88,2.31,10.12,1.67,2.01,13.12,2.06,2.31,2.11,2.01,2.21,2.7,1.13,.84,4.42,2.75,1.62,1.77,.2,.1,.84
489,Lincoln,1,1,1,4.76,2.65,0,2.82,.71,.71,10.05,1.06,2.12,10.76,4.23,4.41,4.76,2.65,2.29,2.12,2.47,1.41,4.94,2.29,2.29,3.88,.35,0,.53
10,Biden,1,1,2,.61,4.7,.2,1.02,1.23,.41,6.75,3.07,2.04,11.45,2.04,2.45,.82,2.86,2.86,1.84,1.23,.61,6.54,4.09,1.84,2.25,1.84,0,.82
263,Kyl,1,1,1,3.61,1.29,0,.52,0,2.06,6.44,2.58,2.32,7.22,1.8,1.55,3.09,.77,3.35,2.06,.52,.77,3.87,2.84,1.8,4.38,0,0,0
435,Cochran,1,1,1,2.55,4.08,0,.51,0,.51,7.14,1.53,.51,8.67,4.59,3.57,3.06,.51,1.53,0,1.53,1.53,5.61,0,.51,1.53,0,0,0
189,Hutchison,1,1,1,1.19,3.98,1.06,.8,1.06,1.19,11.01,1.72,.8,12.73,2.52,3.32,2.25,2.12,2.65,3.58,1.19,1.06,4.77,2.79,1.46,2.92,.13,0,.66
383,Nickles,1,1,1,2.69,3.07,.13,.9,1.28,4.99,4.87,1.15,1.92,10.24,2.56,1.41,1.41,2.05,2.43,2.69,1.02,1.79,5.51,3.71,2.18,1.28,.26,0,0
521,Stabenow,1,0,2,3.25,4.22,0,.97,0,.65,9.09,.97,.65,8.12,5.19,4.87,1.95,1.95,1.3,.97,2.27,1.3,5.84,1.62,2.92,2.6,0,0,0
