WPS	Sixltr	Dic	i	we	you	shehe	they	ipron	article	auxverb	past	present	future	adverb	preps	conj	negate	quant	social	posemo	negemo	insight	cause	discrep	tentat	certain	inhib	incl	excl	motion	space	time	work	achieve	money	relig	death
16.1	23.7	79.37	2.64	1.78	0	2.21	.79	6.64	7.14	10.35	2.64	8.85	2.14	3.35	11.49	5.42	2.43	1.43	7.78	2.07	1.78	3.71	2.21	2.07	3.07	1.86	.64	5.07	3	2.64	7.28	4.21	2.78	2.28	.29	.29	.14
15.97	30.17	68.88	.38	2.09	0	1.52	0	2.47	9.3	6.83	1.14	5.5	.57	1.52	13.66	4.17	1.52	1.52	5.69	4.93	3.8	.57	1.33	.95	1.9	.95	.38	4.55	1.9	.95	6.07	2.85	4.36	3.98	.57	.57	.57
18.06	29.54	79.38	3.38	3.38	0	.92	.62	4.31	6.77	8	.31	10.46	.92	1.85	12.62	4.62	1.54	1.54	7.38	3.38	3.69	.92	4.92	2.77	2.46	1.85	1.85	5.23	3.08	2.15	4.62	1.23	4.62	4	.31	0	.31
27.48	34.15	75.47	2.11	2.11	0	2	.35	2.46	8.8	6.57	2.11	5.87	1.29	2.35	13.03	4.34	.82	1.64	8.69	3.64	3.52	2.46	2.23	.7	1.06	2.35	2.35	5.05	1.29	1.76	5.63	2.82	5.28	5.05	.23	.12	.94
21.23	37.58	63.13	.5	1	0	.2	.6	4.21	6.71	5.01	.7	5.01	1	1.7	12.73	3.31	.5	2	4.31	3.51	4.01	.8	1.2	1.1	1	2.3	1.2	3.81	1.3	2.2	5.31	2.51	3.31	2.4	1	.4	.7
22.02	28.96	75.87	.99	2.91	0	.64	1.06	6.32	8.02	8.59	2.56	5.46	1.77	2.98	13.63	4.54	1.77	1.77	8.45	2.7	3.19	1.63	1.49	1.49	2.34	1.49	.92	5.04	2.7	2.77	6.03	4.76	2.48	3.69	.5	.21	.92
18.06	26.52	74.51	1.55	2.84	.72	.22	1.37	6.26	7.06	8.86	1.87	8.78	1.1	2.74	10.83	5.06	1.75	2.07	8.63	2	1.77	2.15	2.44	1.8	2.1	1.25	.47	5.21	2.99	1.52	6.31	3.37	2.89	2.05	.82	.05	.22
15.51	27.44	71.81	.45	3.3	.3	0	.75	4.95	7.65	7.35	1.2	6.9	2.1	2.85	10.34	6	1.05	2.1	7.05	.9	3.6	1.8	1.2	3.3	1.95	1.95	.45	7.65	3	1.2	7.65	4.65	2.55	1.8	.45	0	0
14.82	21.68	77.71	.61	4.7	.2	1.02	1.23	3.89	7.98	9.41	.41	6.75	3.07	2.86	12.07	7.77	2.04	2.66	11.45	2.04	2.45	.82	2.86	2.86	1.84	1.23	.61	6.54	4.09	1.84	6.13	4.29	3.68	2.25	1.84	0	.82
24.77	27.43	77.3	1.42	3.29	.08	.61	2.23	5.24	7.77	8.49	1.34	7.07	1.84	2.67	11.84	5.65	1.95	2.09	10.41	2.53	3.17	2.56	2.03	2.31	2.45	1.09	.81	5.21	3.06	1.56	5.35	2.9	2.56	2.14	.81	.42	.67
