ID,MFQ1,MFQ2,MFQ3,MFQ4,MFQ5,MFQ6,MFQ7,MFQ8,MFQ9,MFQ10,MFQ11,MFQ12,MFQ13,MFQ14,MFQ15,harm,fair,loyal,auth,pure,PoliticalOrient,PoliticalParty,Order1,HarmCount,HarmWords,FairCount,FairWords,LoyalCount,LoyalWords,AuthorityCount,AuthorityWords,PurityCount,PurityWords
2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,6,6,6,6,5,6,Democrat,Moral Foundations Questionnaire|Political Orientation Questions|Word Association Task,4, criminals  doctors  shootings  medicine              ,2, test  ability                       ,4, cheating  faithful  relationships  double crossing                   ,3, police  teachers  family                    ,2, faith  devil                 
6,6,5,6,6,6,6,1,1,2,2,1,2,2,2,1,5.666666667,6,1.333333333,1.666666667,1.666666667,10,Democrat,Word Association Task|Moral Foundations Questionnaire|Political Orientation Questions,3, hurt  depression  pain              ,6, test  society  morality  equality  government  religion                   ,8, dogs  cats  mans best friend  honesty  truthfulness  hate  revenge  vendetta               ,5, anarchy  teacher  cops  the people  community                  ,4, religion  honesty  truth                 
8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,Democrat,Moral Foundations Questionnaire|Political Orientation Questions|Word Association Task,3, careful   physical                  ,4, teaching   relationships   little kids                         ,4, relationships   cheating   backstabbers   dogs                    ,5, police   law   managers   obediance                      ,3, virgin   innocence                    
25,3,2,4,5,3,1,2,2,5,5,4,2,2,5,4,3,3,3,3.666666667,3.666666667,8,Democrat,Word Association Task|Moral Foundations Questionnaire|Political Orientation Questions,6, hurt  evil  betrayal  tending  help  love            ,5, honest  dishonest  intelligence  friendship  unprepared                     ,7, honest dishonest  trustworthy  true  backstabbing  shady  faithful                 ,4, boss  watch  direction  obedience                    ,4, clean  new  untouched  put down               
26,4,5,3,4,4,6,2,2,4,4,3,3,3,4,4,4,4.666666667,2.666666667,3.333333333,3.666666667,1,Democrat,Political Orientation Questions|Word Association Task|Moral Foundations Questionnaire,2, compassion                  ,2, integrity   awareness                       ,3, honesty   integrity    assurance                     ,4, teachers   police   government                      ,1, pure                  
28,4,2,4,6,6,6,4,4,6,6,6,1,4,3,6,3.333333333,6,4.666666667,4.333333333,4.333333333,7,Democrat,Word Association Task|Political Orientation Questions|Moral Foundations Questionnaire,4, injury   hospital   doctor   scared              ,2, games   relationships                       ,2, relationship                        ,2, teacher                        ,4, wedding   child   mean   rude               
29,5,5,6,4,5,5,2,3,4,3,2,4,5,4,3,5.333333333,4.666666667,3,3,4,9,Democrat,Word Association Task|Political Orientation Questions|Moral Foundations Questionnaire,4, cutting  self-love  mother  comfort             ,4, game  marriage  unfair  loyalty                     ,7, friend  family  dog  revenge  anger  sadness  disbelief                ,6, strict  police  punishment  timid  scared  weak                 ,5, white  angel  virginity  dirty  gross              
30,6,6,6,6,6,6,4,5,5,3,3,6,2,2,2,6,6,4.666666667,4,2,10,Democrat,Word Association Task|Moral Foundations Questionnaire|Political Orientation Questions,2, hospital  violence               ,3, exams  life  games                      ,3, family  friends  significant others                    ,4, government  education  parents  police                   ,3, baby  children  bullying                
33,6,4,6,6,6,6,4,4,4,3,4,6,4,4,1,5.333333333,6,4,4.333333333,3,9,Democrat,Moral Foundations Questionnaire|Word Association Task|Political Orientation Questions,7, nurse  mother  father  family  mean people  hate  hurt          ,4, gambling  casinos  cards  even                     ,3, group  friends  lion king                    ,4, police  government  citizens  opression                   ,4, virginity  sex  white  clean               
34,5,5,6,6,6,6,3,4,5,4,4,5,6,4,1,5.333333333,6,4,4.333333333,3.666666667,10,Democrat,Word Association Task|Moral Foundations Questionnaire|Political Orientation Questions,5, hospital  jail  hurt pain  pleasure            ,2, balance  test                       ,4, dogs  trustworthy  honest  lie                   ,1, government                      ,3, humiliation  virgin  shame                
36,5,4,6,3,5,2,2,3,4,5,2,5,4,5,4,5,3.333333333,3,4,4.333333333,5,Democrat,Word Association Task|Moral Foundations Questionnaire|Political Orientation Questions,6, mean   nice   love   emotions   hurt   feel           ,7, even   fair   lie   bad   good   honest                     ,4, truth   lie   honest                      ,7, police   law   parents   rules   teacher   higher                   ,4, pure   clean   simple   fresh               
44,5,4,6,6,5,5,4,6,6,5,2,5,4,5,4,5,5.333333333,5.333333333,4,4.333333333,6,Democrat,Word Association Task|Political Orientation Questions|Moral Foundations Questionnaire,5, gerryn   love   passion   hurt   tears            ,4, academics   honesty   dishonesty   tests                     ,5, one   dishonestly   trustworthy   mya   me                  ,3, principals   parents   laws                    ,3, virginity   mean                   
55,6,5,6,4,4,6,4,5,5,4,4,5,5,5,4,5.666666667,4.666666667,4.666666667,4.333333333,4.666666667,8,Democrat,Moral Foundations Questionnaire|Political Orientation Questions|Word Association Task,6, love  pain  hugs  respect  abuse  gifts           ,4, student  judge  stealing  lying                     ,6, truth  unity  knights  stabbed in the back  friendship  love                 ,6, brutality  strength  lies  head strong  poor  used                 ,6, faith  virgin  sex  porn  white  humiliation             
56,6,6,6,6,6,6,3,6,4,2,2,5,4,4,1,6,6,4.333333333,3,3,9,Democrat,Political Orientation Questions|Moral Foundations Questionnaire|Word Association Task,6, hurt  pain  hindrance love  help  progression           ,3, honesty  equality  justice                      ,6, honest  trustworthy  helpful manipulative  dishonest  untrustworthy                 ,4, rules  unfair  abuse  powerful                   ,6, chastity  innocence  quality harm  pain  manipulation             
58,5,5,5,6,6,6,4,5,5,3,3,4,4,6,4,5,6,4.666666667,3.333333333,4.666666667,9,Democrat,Word Association Task|Political Orientation Questions|Moral Foundations Questionnaire,10, knives  guns  cuts  scratches  doctors  mom  band aids  love  hugs         ,6, justice  right  wrong  unfair  bad  annoying                   ,6, bestfriend  mistrust  dog  family  enemy  heartbroken                 ,6, parents  cops  principals  mean  dirty  untrustworthy                 ,7, angel  sex  marriage  baby  doves  white  rape            
62,6,5,6,5,6,6,5,4,5,5,3,5,3,4,4,5.666666667,5.666666667,4.666666667,4.333333333,3.666666667,8,Democrat,Word Association Task|Moral Foundations Questionnaire|Political Orientation Questions,11,      anger   power   aggression   mean   pain   help   fix   mend   kindness   gentle     ,10,      kindness   rules   equality   hurtful   unfair   lying   betrayal   mean   wrong              ,13,      friend   trust   honor   true   belief          anger   mean   hurt   pain   resent        ,10,      power   rules   leader   figure   person   force   forced   structure   change            ,13,      rules   saint   ethics   mindful   goody-goody          harmful   mean   chastise   hurt   repercussions    
63,6,6,6,4,5,6,4,6,6,5,3,6,6,6,5,6,5,5.333333333,4.666666667,5.666666667,8,Democrat,Word Association Task|Moral Foundations Questionnaire|Political Orientation Questions,9, hurt   purposeful   loving    compassion   care taker   abuser    hate    passion           ,7, judge   jury   student   competition   justice   lies   corruption                   ,6, lies   family   heartbreak   trust    contract    back stabbing                 ,7, elder   government    police   rules   social contract   punishment   submission                 ,6, clean   innocent   filthy   sinful   blissful   tormented              
