IDNO,Name,Title,Date,Venue,War,Region,Afghanistan,Iran,NorthKorea,Russia,Syria,Sudan,Kosovo,Libya,OpposeSupport,PartyAffiliation,Month,Day,Year,WC,WPS,Sixltr,Dic,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct,ZWC,ZWPS,ZSixltr,ZDic,Zfunct,Zpronoun,Zppron,Zi,Zwe,Zyou,Zshehe,Zthey,Zipron,Zarticle,Zverb,Zauxverb,Zpast,Zpresent,Zfuture,Zadverb,Zpreps,Zconj,Znegate,Zquant,Znumber,Zswear,Zsocial,Zfamily,Zfriend,Zhumans,Zaffect,Zposemo,Znegemo,Zanx,Zanger,Zsad,Zcogmech,Zinsight,Zcause,Zdiscrep,Ztentat,Zcertain,Zinhib,Zincl,Zexcl,Zpercept,Zsee,Zhear,Zfeel,Zbio,Zbody,Zhealth,Zsexual,Zingest,Zrelativ,Zmotion,Zspace,Ztime,Zwork,Zachieve,Zleisure,Zhome,Zmoney,Zrelig,Zdeath,PsychDistance,Honesty,Status,CatThink,ComplexThink,CogProcess
2025,Brownback,Chairman,5/14/1998,4,0,3,0,1,0,0,0,0,0,0, ,0,5,14,98,1676,19.05,23.87,80.01,54.71,14.38,9.49,2.98,3.04,2.51,0.06,0.89,4.89,6.5,13.96,8.59,0.84,10.2,1.13,3.94,14.5,6.8,0.78,2.33,0.3,0,9.55,0,0.18,0.78,5.43,3.52,1.79,0.66,0.54,0.12,17.54,2.68,1.67,2.51,3.1,1.07,0.24,6.5,2.09,1.19,0.95,0.18,0,0.24,0,0.24,0,0,15.51,2.39,9.96,3.52,1.91,0.72,0.42,0,0.36,0.18,0.06,0,0.06,0.06,5.67,7.16,0.12,0,0.36,0,0.54,0,0.24,0.12,0,14.32,0.669578975,0.1024469,-0.814458167,0.631677669,0.877819581,0.667829091,1.08662211,0.637569579,0.382759711,1.424502484,-0.691844412,0.154305012,-0.270267046,-0.492735102,0.708688012,0.497929579,-0.865131799,1.238836326,-0.201809413,0.677244542,0.953296595,1.119935399,-0.474778625,0.399262815,-0.619942954,-0.152946216,0.244125016,-0.35597421,-0.065683161,-0.574899499,-0.280554761,0.254621096,-0.616285265,0.403776863,-0.877418217,-0.491536594,0.463094131,0.418110385,-0.144726323,0.942582917,1.097246318,-0.448420212,-1.129673275,0.758603997,0.033401872,-0.118877611,1.649786894,-0.795458547,-0.713611743,-0.528031769,-0.694261308,0.114379154,-0.332793442,-0.38229152,1.663431172,0.731987545,2.543819456,-0.215830927,-0.863055474,-1.544095417,0.44501495,-0.745577071,-0.306923297,-0.124104165,-0.762358827,-4.126182091,-0.582401881,1.169692616,-1.062584687,0.29578561,0.273384061
2349,Gregg,"President and chairman of the korea society, former ambassador to the republic of korea",2/4/2003,4,0,4,0,0,1,0,0,0,0,0, ,0,2,4,3,1970,18.76,20.96,79.95,54.06,14.97,9.24,3.5,1.22,0.56,2.03,1.93,5.74,6.24,16.04,8.48,4.92,8.53,1.12,3.86,12.49,6.19,0.96,2.34,1.02,0,10.66,0.2,0.05,0.46,4.37,2.79,1.57,0.3,0.61,0.15,17.36,3.45,1.98,2.03,2.64,0.86,0.51,5.74,1.78,2.18,0.41,1.42,0.36,0.46,0.1,0.1,0.05,0.2,12.28,2.74,6.19,3.2,3.25,2.49,0,0.25,0.56,0.1,0.1,0.2,0.15,0.1,5.53,6.4,0,0.05,0.66,0,0.25,0,4.21,0,0.1,17.21,0.928435295,0.041595066,-1.317715694,0.620639586,0.772088303,0.827050691,0.994486387,0.994170476,-0.789421938,-0.14940524,2.221520435,1.520969961,0.21444883,-0.652719906,1.385206866,0.446780992,2.723990173,0.584913844,-0.214131902,0.621564731,-0.125398299,0.678696209,-0.253567588,0.41059604,0.769620904,-0.152946216,0.628523453,0.497758945,-0.505980831,-0.897226856,-0.805305249,-0.266599099,-0.752874599,-0.297867329,-0.820479172,-0.413662353,0.405107853,1.11140945,0.223443221,0.435507919,0.686834928,-0.718710414,-0.781585207,0.280399691,-0.251311258,1.014251291,0.244348411,0.942819031,0.809909501,-0.07859452,-0.336572661,-0.359259019,0.052643361,0.882862008,0.239282194,1.162165015,0.128281456,-0.449398592,0.138196092,-0.115316586,-0.827667954,0.105576174,-0.028596869,-0.293119366,-0.703828499,-3.985027839,1.107134809,-1.932997654,-3.481040765,1.269865409,1.33485267
2010,Chafee,representative,10/30/2003,4,0,6,0,0,0,0,1,0,0,0, ,0,10,30,3,405,16.88,20.74,81.98,52.35,13.83,7.65,0.99,1.73,2.72,1.98,0.25,6.17,9.63,13.09,7.9,1.98,8.64,1.23,3.95,10.37,5.93,1.48,2.72,0,0,11.11,0,0,0.25,5.68,3.46,2.22,0.99,0.49,0.25,16.05,2.22,2.47,1.73,1.73,1.48,0.74,3.46,3.7,1.73,0,1.48,0.25,0.25,0.25,0,0,0,11.11,2.72,5.93,2.47,3.7,2.22,0,0.25,1.98,0.25,0,0,0,0,3.95,6.42,0.25,0.74,1.98,0,0.74,0,0.25,0,0,14.32,-0.449490352,-0.352892687,-1.355762654,0.994094719,0.493933711,0.519402176,0.408503191,-0.727114623,-0.460953454,1.594000239,2.147577165,-0.686719573,0.459658038,1.433235809,0.425720992,0.177088443,0.137711105,0.627986582,-0.07858452,0.684204518,-1.263126247,0.490627046,0.385486521,0.841258616,-1.198927895,-0.152946216,0.784360657,-0.35597421,-0.675326089,-1.108754184,-0.156792854,0.21178108,-0.349315205,1.046950705,-0.918088963,-0.154081553,-0.016903391,0.003931723,0.80538863,0.118586046,-0.125065866,0.07928923,-0.485065742,-1.154213228,1.512073291,0.499192699,-0.822743771,1.026929236,0.344389121,-0.507602803,0.19996031,-0.697571999,-0.332793442,-0.38229152,-0.276586011,1.137583445,-0.038307372,-0.982224827,0.47443729,-0.333265899,-0.827667954,0.105576174,1.947520765,0.023784137,-0.85015432,0.05801515,-3.442165347,1.860161408,-1.611374084,3.998827752,0.809320352
1986,Chafee,Representative,12/6/2001,4,1,2,1,0,0,0,0,0,0,0, ,0,12,6,1,336,12,29.17,80.65,53.57,12.8,8.93,3.27,1.19,2.98,0,1.49,3.87,9.23,12.8,8.33,2.98,8.33,0,4.76,13.69,4.46,0.89,0.89,1.19,0,12.5,0,0,1.49,2.68,2.08,0.6,0,0.3,0,15.18,4.17,2.38,0.3,2.68,1.79,0,3.27,2.08,1.79,0.6,1.19,0,0.6,0,0.3,0.3,0,13.39,2.08,8.33,3.57,1.79,1.19,0.6,0,0,1.49,0.3,0,0,0,6.55,6.85,0.3,0,2.68,0,0.89,0,2.68,0,0,19.94,-0.510242346,-1.376882171,0.102127705,0.749417218,0.692383186,0.241439044,0.880238091,0.836443156,-0.808743613,1.803854602,-0.780576336,0.942765559,-0.851926098,1.187105341,0.331398651,0.377032919,1.017397863,0.506599774,-1.594250703,1.247962607,0.518598652,-0.572687067,-0.339594102,-1.232721682,1.09771237,-0.152946216,1.265724467,-0.35597421,-0.675326089,0.140264325,-1.641935744,-0.773539289,-1.355109387,-0.882570821,-1.072637799,-0.803033554,-0.2971704,1.759689095,0.698500697,-1.392074885,0.722522875,0.478289052,-1.439084891,-1.273764305,0.024217577,0.567867178,0.738854544,0.620396577,-0.713611743,0.207411002,-0.694261308,0.317366942,1.979827378,-0.38229152,0.72869562,0.350973214,1.499435652,-0.179335979,-0.952719794,-1.164702168,0.99045048,-0.745577071,-0.807910866,2.643519758,-0.411176855,1.338265001,0.892506734,0.158667833,1.476433047,1.467008333,2.458189792
1999,Chafee,Representative,6/26/2002,4,1,2,1,0,0,0,0,0,0,0, ,0,6,26,2,271,12.32,27.68,78.23,58.67,13.28,9.59,1.48,2.58,3.32,0,2.21,3.69,9.96,14.76,10.33,4.8,7.38,1.11,7.38,12.55,4.43,1.11,1.48,1.11,0,14.02,0,0,1.11,4.06,1.85,2.21,1.11,0.37,0,12.18,0.37,1.48,2.21,1.85,0,0.74,3.69,2.95,3.69,0.74,2.21,0.37,0,0,0,0,0,13.28,0.74,8.12,3.69,2.21,1.85,0.37,0,0,0,0,0,0,0,7.01,4.8,0.37,0,2.95,0,0.74,0,0,0,0,15.87,-0.567472484,-1.30973532,-0.155553983,0.304214547,1.521967059,0.37097526,1.123476399,-0.391086855,0.08649402,2.078279539,-0.780576336,1.888918216,-0.954571813,1.636293445,0.968887571,1.307007228,2.618427762,0.134607943,-0.226454391,3.071476425,-0.093198452,-0.594387355,-0.069225056,-0.564061367,0.943316386,-0.152946216,1.792107912,-0.35597421,-0.675326089,-0.242499411,-0.958770015,-0.937759351,-0.355523811,1.280832102,-1.015698754,-0.803033554,-1.263608363,-1.66178681,-0.370378625,0.625661043,-0.018002025,-1.825613146,-0.485065742,-1.009493504,0.823251201,2.74255901,1.103227484,2.050270068,0.852229535,-1.018326949,-0.694261308,-0.697571999,-0.332793442,-0.38229152,0.680195191,-1.295991958,1.364883137,-0.091748104,-0.638894676,-0.63193718,0.29350508,-0.745577071,-0.807910866,-0.504388368,-0.85015432,1.11155733,-7.280756514,2.555860413,0.418653438,-2.172768461,-2.032165435
1990,Hagel,Representative,12/6/2001,4,1,2,1,0,0,0,0,0,0,0, ,0,12,6,1,481,12.02,21.62,81.7,55.3,15.8,11.64,3.12,1.87,6.24,0.42,0,4.16,6.03,12.89,6.65,2.08,8.11,1.25,4.57,15.18,6.24,0.62,2.49,0.62,0,13.31,0,0.21,1.66,6.24,5.82,0.42,0.21,0,0.21,17.26,3.74,1.87,1.66,2.91,0.83,0.21,4.78,2.29,0.21,0.21,0,0,0.21,0,0.21,0,0,11.85,0.83,8.11,2.91,3.95,1.87,0.42,0,0,0,0,0.21,0.21,0,7.69,6.44,0,0,0.62,0,0,0,0.21,0,0,14.97,-0.382575113,-1.372685493,-1.203574811,0.942583666,0.973791049,1.051040399,1.878989326,0.733577513,-0.370785635,4.435105464,-0.159452866,-1.015244801,-0.686552446,-0.781938402,0.360671102,-0.4041455,0.225679781,0.420454298,-0.053939541,1.115723055,1.318228201,0.714863356,-0.671410659,0.580594425,-0.002359017,-0.152946216,1.546231434,-0.35597421,0.035923994,0.311500734,0.120433819,1.896821712,-1.466864297,-0.473278376,-1.316662277,-0.257913873,0.372893254,1.372522084,0.092802415,0.044637608,0.92772857,-0.7573233,-1.168349727,-0.323647854,0.217087762,-1.240560767,-0.276184361,-1.047789163,-0.713611743,-0.589318666,-0.694261308,0.01288526,-0.332793442,-0.38229152,0.049689606,-1.185374894,1.358475875,-0.661069288,0.661237955,-0.615792787,0.44501495,-0.745577071,-0.807910866,-0.504388368,-0.85015432,-3.184182632,-8.620897543,3.330742316,-1.027956114,0.67682732,1.465324499
2001,Hagel,Representative,6/26/2002,4,1,2,1,0,0,0,0,0,0,0, ,0,6,26,2,1238,28.14,20.6,84.41,61.31,17.85,10.5,3.47,2.99,3.55,0.16,0.32,7.35,5.41,14.62,9.37,2.18,10.1,0.97,5.33,12.12,8.24,1.62,3.47,0.81,0,11.71,0,0.16,0.81,3.15,2.42,0.65,0.08,0.24,0,23.02,4.04,1.45,1.45,3.72,1.53,0.24,8.16,3.96,1.37,0.57,0.73,0,0.24,0,0.24,0,0,10.26,1.29,6.7,2.34,2.5,1.05,0.08,0,0.24,0,0.16,0.16,0.16,0.24,3.23,12.92,0.16,0.08,0.81,0,0.08,0,0.81,0,0.4,18.5,0.283935887,2.009837149,-1.379974357,1.441137071,1.951398711,1.604267992,1.45885043,0.973597348,0.350556918,2.263919937,-0.543957871,-0.594732509,1.132557725,-1.163440627,0.923352649,0.860619559,0.313648457,1.199679291,-0.398969242,1.644681262,-0.323964026,2.161549225,0.55753955,1.691250541,0.364331445,-0.152946216,0.992143597,-0.35597421,-0.133421264,-0.544681309,-1.409263358,-0.530779198,-1.324066357,-0.72664989,-1.121442695,-0.803033554,2.228454143,1.642638603,-0.406007935,-0.177207703,1.650409496,0.14364404,-1.129673275,1.803102876,1.750864948,0.087145825,0.660774628,-0.024448331,-0.713611743,-0.528031769,-0.694261308,0.114379154,-0.332793442,-0.38229152,-0.651362058,-0.61999879,0.455051848,-1.077111691,-0.422205904,-1.277712923,-0.585252163,-0.745577071,-0.473919153,-0.504388368,-0.616033005,-4.539483919,1.780768077,1.640879508,-3.790731658,5.913318664,1.236630668
1991,Helms,Representative,12/6/2001,4,1,2,1,0,0,0,0,0,0,0, ,0,12,6,1,1019,15.21,22.77,82.43,56.92,15.7,10.6,3.34,2.26,3.34,0.39,1.28,5.1,6.18,16.09,10.7,2.06,11.29,0.98,4.32,11.78,5.89,1.77,1.77,0.79,0,12.66,0.1,0.29,1.47,4.12,3.24,0.88,0.1,0.39,0.2,17.08,2.45,2.16,0.98,2.94,0.69,0.49,5.59,2.94,2.16,0.69,1.28,0.2,0.39,0.39,0,0,0,11.87,1.77,5.5,4.51,3.63,1.57,0.29,0.2,0.39,0,0.2,0.2,0.29,0.1,5.69,4.91,0.2,0.1,1.37,0,0.79,0,1.86,0,0,14.92,0.091114343,-0.703315318,-1.004692971,1.07688034,1.237305926,1.024053687,1.495704719,0.884447123,-0.119603853,2.094422182,-0.203818828,0.666804367,-0.150513712,-0.689639476,1.401469339,1.479052475,0.208086046,1.665648005,-0.386646752,0.941723645,-0.506429829,0.461693329,0.741882082,-0.235397823,0.325732449,-0.152946216,1.32113325,0.070892368,0.306876407,0.120118866,-0.929067157,0.054701021,-1.181268418,-0.687669657,-0.999430456,-0.283871953,0.314906976,0.211021054,0.437219085,-0.673718638,0.95449453,-0.937516768,-0.807369508,0.186017262,0.814066907,0.991359798,0.973094291,0.746561885,0.132788948,-0.221597281,0.700724415,-0.697571999,-0.332793442,-0.38229152,0.058507866,-0.030041117,-0.313819663,0.506769037,0.422133103,-0.85795869,0.051089289,-0.064654475,-0.265174333,-0.504388368,-0.557502677,-3.570708938,-1.506076059,1.090371206,-3.602231615,1.776549877,0.648240139
1984,AllenME,Representative,12/6/2001,4,1,2,1,0,0,0,0,0,0,0, ,1,12,6,1,648,17.05,23.77,77.78,55.25,12.81,6.79,2.16,2.01,2.01,0,0.62,6.02,7.41,12.35,8.18,1.85,7.72,1.08,5.09,12.81,6.79,0.62,3.4,0.46,0,9.41,0,0,2.16,5.09,3.7,1.39,0.31,0.77,0.15,18.06,1.54,1.7,1.85,0.77,3.7,0.46,6.33,2.16,1.39,1.08,0.31,0,0.15,0.15,0,0,0,11.73,1.08,6.64,3.7,2.78,2.62,0,0,0,0.15,0.46,0.31,0.15,0,5.71,7.25,0.15,0.46,0.31,0,0.46,0,0.31,0.31,0,15.28,-0.23553768,-0.317220922,-0.83175224,0.221428926,0.965657874,0.244137715,0.091556304,0.075237395,-0.280617815,1.020936401,-0.780576336,-0.200502235,0.374119942,0.067211712,0.185036399,0.307284846,0.023351827,0.267741862,-0.263421859,1.477641828,0.046334221,1.11270197,-0.671410659,1.611917961,-0.311150986,-0.152946216,0.19564233,-0.35597421,-0.675326089,0.81513723,-0.448870955,0.383141144,-0.864629508,-0.278377212,-0.690332784,-0.413662353,0.630610044,-0.608332387,-0.109097013,0.245354795,-0.981576593,2.936642794,-0.84604596,0.651637244,0.097691934,0.110037318,1.988133196,-0.613219768,-0.713611743,-0.711892462,-0.157728337,-0.697571999,-0.332793442,-0.38229152,-0.003219954,-0.878105272,0.416608273,-0.084449115,-0.212989159,-0.010378028,-0.827667954,-0.745577071,-0.807910866,-0.187484865,-0.17705554,-1.35287458,-3.65342325,0.66508119,-0.903242706,-1.147304321,-0.717429399
1995,AllenME,Representative,6/26/2002,4,1,2,1,0,0,0,0,0,0,0, ,1,6,26,2,792,24,28.28,77.02,54.29,12.12,5.56,1.01,1.39,2.4,0.13,0.63,6.57,6.19,11.74,7.45,1.01,6.69,0.76,4.8,13.26,9.22,0.38,2.78,0.88,0,7.7,0,0.13,1.39,4.8,3.79,1.01,0.13,0.76,0,19.07,0.88,2.65,1.39,2.15,2.15,1.89,7.07,2.4,1.14,0.63,0.51,0,0.25,0.13,0.13,0,0,12.63,2.65,5.05,5.05,1.26,1.89,0.13,0.25,0.25,0,0.63,0,0.25,0,4.04,14.14,0,1.01,0.51,0,0.51,0,0.51,0,0,20.71,-0.108750911,1.141124758,-0.051789545,0.081613211,0.809500909,0.057929403,-0.361751452,-0.713399204,-0.679932443,1.335717946,-0.588323833,-0.187361226,0.687759627,-0.683486215,-0.013365765,-0.032155777,-0.71558505,-0.135575597,-0.657741517,1.275802513,0.287833078,2.8704253,-0.966358709,0.90925797,0.499427931,-0.152946216,-0.396539047,-0.35597421,-0.235028419,0.039537026,-0.592434768,0.447401169,-1.100556539,-0.629199308,-0.698466933,-0.803033554,0.955977492,-1.202588728,1.019164494,-0.240592078,0.249657578,0.941643684,0.997531586,1.117257227,0.318115002,-0.176106344,0.81693446,-0.332852417,-0.713611743,-0.507602803,-0.229266067,-0.257765125,-0.332793442,-0.38229152,0.393601743,1.051547951,-0.60214648,0.900914472,-1.348737204,-0.599648393,-0.433742293,0.105576174,-0.460002832,-0.504388368,0.071698357,0.354291119,2.480602391,1.369184706,-0.434076917,2.062624891,-0.183424234
