"","ID","Region","Name","Party","Date","Venue","Foundation","Reference","Coverage"
"5",1456,"Iraq","Abercrombie",1,"10/9/2002","House","Purity",1,0.0108
"15",1140,"Iran","Ackerman",1,"7/9/2008","House Hearings","Purity",2,0.0254
"20",1139,"Libya","Ackerman",1,"3/31/2011","House Hearings","Purity",1,0.0105
"31",978,"North Korea","Ackerman",1,"10/13/1999","House Hearings","Purity",2,0.0095
"34",1984,"Afghanistan","AllenME",1,"12/6/2001","Senate Hearings","Purity",1,0.0176
"48",460,"Iran","Andrews",1,"3/3/2004","House","Purity",4,0.0068
"65",461,"Iran","Andrews",1,"11/11/2011","House","Purity",4,0.0133
"69",1622,"Afghanistan","Baca",1,"9/14/2001","House","Purity",3,0.1414
"75",1749,"Afghanistan","Baldacci",1,"9/14/2001","House","Purity",1,0.075
"83",1754,"Afghanistan","Baldwin",1,"9/14/2001","House","Purity",1,0.0316
"93",369,"Iraq","Bayh",1,"10/8/2002","Senate","Purity",1,0.0043
"98",1459,"Iraq","Becerra",1,"10/9/2002","House","Purity",1,0.0117
"102",6,"Syria","Begich",1,"8/1/2013","Senate","Purity",2,0.0199
"107",1460,"Iraq","Berkley",1,"10/9/2002","House","Purity",1,0.021
"116",1578,"Afghanistan","Berman",1,"9/14/2001","House","Purity",2,0.0315
"131",1944,"Russia","Berman",1,"11/9/2008","House Hearings","Purity",3,0.0069
"153",13,"Iran","Berman",1,"10/14/2011","House Hearings","Purity",1,0.007
"160",194,"Iran","Biden",1,"2/22/2000","Senate","Purity",1,0.0047
"170",56,"North Korea","Biden",1,"3/7/2001","Senate","Purity",3,0.0094
"178",12,"Afghanistan","Biden",1,"10/3/2001","Senate","Purity",2,0.0069
"183",1985,"Afghanistan","Biden",1,"12/6/2001","Senate Hearings","Purity",2,0.0028
"192",2182,"Iraq","Biden",1,"7/31/2002","Senate Hearings","Purity",2,0.0011
"196",517,"Iraq","Biden",1,"10/9/2002","Senate","Purity",1,0.005
"201",405,"Iraq","Biden",1,"10/10/2002","Senate","Purity",4,0.0048
"209",11,"Iraq","Biden",1,"1/28/2003","Senate","Purity",3,0.0077
"214",2341,"North Korea","Biden",1,"2/4/2003","Senate Hearings","Purity",1,0.0024
"219",8,"North Korea","Biden",1,"2/6/2003","Senate","Purity",1,0.002
"238",19,"Russia","Biden",1,"6/17/2004","Senate","Purity",1,0.0104
"245",18,"Iran","Biden",1,"7/22/2004","Senate","Purity",1,0.0103
"257",2050,"Iran","Biden",1,"3/29/2007","Senate Hearings","Purity",1,0.0043
"272",2433,"Sudan","Biden",1,"4/23/2008","Senate Hearings","Purity",4,0.0082
"296",334,"Iran","Biden",1,"5/22/1998","Senate","Purity",1,0.0022
