IDNO,Name,Date,Venue,,Region,PartyAffiliation,Honesty,Status,CatThink,ComplexThink,CogProcess,PsychDistance,Presidentiality,Depression,,Title,Dateno,,,,Month,Day,Year
1,Bennett,1/28/2003,Senate,,Iraq,R,1.99641,-1.584161,-2.624498,2.698203,0.880714,-2.569111,-2.078648,0.354203,,Senator,37649,,,,1,28,3
3,Ashcroft,2/27/1998,Senate,,Iraq,R,-1.33208,0.382342,3.249147,-2.228832,-1.718018,4.430263,3.459902,-2.559417,,Senator,35853,,,,2,27,98
4,Bayh,10/2/2002,Senate,,Iraq,R,-1.052534,-0.839989,-0.328554,3.29609,2.927182,-3.885419,0.159717,1.806059,,Senator,37531,,,,10,2,2
5,McCain,10/2/2002,Senate,,Iraq,R,1.835972,-0.913086,2.901306,-1.702395,0.308093,3.669711,2.620334,-0.644122,,Senator,37531,,,,10,2,2
7,Bennett,3/6/2003,Senate,,Iraq,R,0.654516,0.588768,1.332714,-0.625417,-1.011709,2.27097,0.779827,-0.469344,,Senator,37686,,,,3,6,3
8,Biden,2/6/2003,Senate,,North Korea,D,-0.877775,0.760479,-1.742173,1.198878,0.421833,-0.92563,-1.968684,-0.403443,,Senator,37658,,,,2,6,3
9,Biden,1/17/2003,Senate,,North Korea,D,0.157898,1.588634,-0.789948,-2.424179,-1.292163,-0.715056,-2.454397,2.018522,,Senator,37638,,,,1,17,3
10,Biden,1/17/2003,Senate,,Iraq,D,-0.299035,2.518669,-0.840831,2.978051,0.309896,-1.014109,-1.675018,-0.135169,,Senator,37638,,,,1,17,3
11,Biden,1/28/2003,Senate,,Iraq,D,-1.043007,0.645331,-0.339276,1.529809,0.106434,-0.179542,-0.53704,0.063879,,Senator,37649,,,,1,28,3
15,Bingaman,1/30/2003,Senate,,Iraq,D,4.710406,0.321284,2.625928,0.80173,0.052031,3.606824,0.933134,0.068728,,Senator,37651,,,,1,30,3
16,Johnson,1/30/2003,Senate,,Iraq,D,3.405488,-0.598257,3.160815,-2.448581,-0.727519,3.979005,0.347889,2.7067,,Senator,37651,,,,1,30,3
17,Akaka,4/10/2002,Senate,,Iraq,R,3.993084,0.550205,3.3029,-1.447863,0.338477,5.022495,1.577847,-0.902243,,Senator,37356,,,,4,10,2
18,Biden,7/22/2004,Senate,,Iran,D,0.072643,-0.543254,1.364819,1.943892,0.741911,2.567846,1.588998,-2.181348,,Senator,38190,,,,7,22,4
20,Blunt,3/17/2011,Senate,,Iran,R,4.561428,-1.526548,-0.337056,-0.595633,0.035434,2.161189,-0.733331,-0.451882,,Senator,40619,,,,3,17,11
21,Bond,1/29/1998,Senate,,Iraq,R,-0.330546,0.187286,0.562743,-0.403335,0.927192,2.025635,0.276188,0.875924,,Senator,35824,,,,1,29,98
22,Bond,1/29/2003,Senate,,Iraq,R,1.904955,-0.433772,-0.278019,-1.334034,-0.032807,-0.216267,-1.094361,1.534823,,Senator,37650,,,,1,29,3
23,Bond,10/9/2002,Senate,,Iraq,R,2.250387,0.745395,0.203188,-2.727787,0.002087,2.129399,-0.39936,1.774743,,Senator,37538,,,,10,9,2
24,Boxer,7/7/1998,Senate,,Iran,D,0.896706,-3.007389,1.275658,-2.261716,-1.638333,-0.945151,1.568023,0.269178,,Senator,35983,,,,7,7,98
25,Boxer,3/11/2004,Senate,,Iran,D,-1.830489,-1.241205,3.594421,-2.886143,-0.211439,4.059291,4.060195,-2.431684,,Senator,38057,,,,3,11,4
27,Brownback,2/13/2002,Senate,,Iraq,R,2.243191,-0.308302,0.571882,-3.695772,-1.548663,2.966153,0.02823,0.143511,,Senator,37300,,,,2,13,2
28,Brownback,7/13/2006,Senate,,North Korea,R,-2.321125,-0.793773,0.639976,-4.210879,-1.627626,-0.033108,-0.73,2.052825,,Senator,38911,,,,7,13,6
29,Brownback,9/7/2006,Senate,,Iran,R,-4.426671,0.821494,0.777284,-5.028396,-0.774937,0.881101,0.49518,-0.302359,,Senator,38967,,,,9,7,6
30,Brownback,7/15/2002,Senate,,North Korea,R,0.774787,-0.579591,1.409817,-2.114643,-0.880715,2.329433,-0.51957,0.883109,,Senator,37452,,,,7,15,2
32,Brownback,6/10/2003,Senate,,Iran,R,-0.213659,-1.270958,-0.094414,-1.196911,-1.123698,0.346919,-0.09497,1.260589,,Senator,37782,,,,6,10,3
33,Brownback,3/1/2005,Senate,,Iraq,R,0.694147,-1.302739,0.828764,-4.083317,-1.50636,2.268001,0.612335,3.938145,,Senator,38412,,,,3,1,5
36,Brownback,9/28/2004,Senate,,North Korea,R,-2.705132,-1.60877,-0.423651,-5.010979,-2.701971,1.370125,-1.402624,-0.637636,,Senator,38258,,,,9,28,4
38,Brownback,9/24/2004,Senate,,North Korea,R,-0.957682,-1.063466,2.280264,-3.154698,-1.010666,2.395835,0.211456,-0.190367,,Senator,38254,,,,9,24,4
41,Byrd,1/29/2003,Senate,,Iraq,D,1.091716,-1.530585,1.999949,-1.593116,-0.955605,2.200058,0.800194,0.996036,,Senator,37650,,,,1,29,3
42,Kennedy,1/29/2003,Senate,,Iraq,D,1.55996,0.484758,0.042522,-1.246622,-0.442117,3.033147,-0.157011,0.703276,,Senator,37650,,,,1,29,3
43,McCain,1/29/2003,Senate,,Iraq,R,2.061125,-0.952509,1.139305,0.113534,0.092312,2.326669,0.880364,0.125265,,Senator,37650,,,,1,29,3
44,Byrd,9/20/2002,Senate,,Iraq,D,-0.071895,-0.742165,0.841322,-0.420424,-0.13803,2.359727,0.050903,0.512873,,Senator,37519,,,,9,20,2
45,Byrd,9/26/2002,Senate,,Iraq,D,3.41481,-0.716731,2.460785,-1.66213,-0.60767,4.680492,0.684358,2.965916,,Senator,37525,,,,9,26,2
50,Casey,12/7/2011,Senate,,Iran,R,-1.909013,-0.747026,2.106311,-3.510805,-0.492009,2.432455,1.153937,-0.549502,,Senator,40884,,,,12,7,11
51,Cleland,3/17/1998,Senate,,Iraq,D,2.528952,-0.204944,3.707818,-1.922521,-0.020166,4.005674,2.535863,-0.704293,,Senator,35871,,,,3,17,98
52,Akaka,10/1/1999,Senate,,North Korea,R,1.042805,-0.701632,4.308286,-2.773928,-0.897312,5.227505,3.620033,-2.205002,,Senator,36434,,,,10,1,99
56,Biden,3/7/2001,Senate,,North Korea,D,1.765648,-0.433272,2.299316,-2.166,-1.608941,3.519278,1.320529,-1.280247,,Senator,36957,,,,3,7,1
58,Biden,9/22/2008,Senate,,North Korea,D,-1.432337,-1.717141,2.519098,-3.602611,-1.655368,3.003934,2.706977,-4.220487,,Senator,39713,,,,9,22,8
59,Brownback,4/29/2008,Senate,,North Korea,R,-2.209321,0.873407,0.000542,-2.474102,-1.14952,1.521821,-1.13405,1.050353,,Senator,39567,,,,4,29,8
61,Brownback,6/4/2009,Senate,,North Korea,R,-3.623162,-0.098568,-2.49044,-0.938945,0.139833,-3.357035,-3.380234,0.492861,,Senator,39968,,,,6,4,9
62,Brownback,6/27/2008,Senate,,North Korea,R,-1.347569,0.401881,-0.768883,-3.185567,-1.821811,-0.758865,-2.273122,1.350074,,Senator,39626,,,,6,27,8
63,Brownback,11/18/2010,Senate,,Iran,R,-2.993967,-0.548358,3.50854,-4.516937,-1.911159,3.752557,3.703987,-2.500864,,Senator,40500,,,,11,18,10
67,Coleman,3/9/2006,Senate,,Iran,R,-5.935276,0.447971,-0.100804,-1.442135,0.001481,-1.18251,0.919458,-1.089223,,Senator,38785,,,,3,9,6
68,Collins,5/22/2013,Senate,,Iran,R,2.451288,-1.318203,4.505928,-4.788792,-1.009622,4.931848,3.240615,-0.747544,,Senator,41416,,,,5,22,13
76,Daschle,2/6/2003,Senate,,North Korea,D,2.49361,-0.350142,0.305508,-1.465215,-0.540304,2.479832,-1.252991,0.15944,,Senator,37658,,,,2,6,3
